mean,var,shape,scale
1e-10,0.0248496994490982,4.0241935402413504e-19,248496994.49098197
1e-10,0.024949899849699402,4.0080321204657986e-19,249498998.49699402
1e-10,0.025050100250300602,3.9919999920479365e-19,250501002.503006
1e-10,0.025150300650901805,3.9760956096727356e-19,251503006.50901803
1e-10,0.02525050105150301,3.9603174525539807e-19,252505010.5150301
1e-10,0.02535070145210421,3.944664023949507e-19,253507014.5210421
1e-10,0.02545090185270541,3.9291338506878916e-19,254509018.5270541
1e-10,0.025551102253306614,3.9137254827062825e-19,255511022.53306612
1e-10,0.025651302653907818,3.89843749259906e-19,256513026.53907818
1e-10,0.02575150305450902,3.883268475177035e-19,257515030.5450902
1e-10,0.025851703455110224,3.8682170470368965e-19,258517034.55110222
1e-10,0.025951903855711424,3.8532818461406364e-19,259519038.5571142
1e-10,0.026052104256312627,3.8384615314046745e-19,260521042.56312627
1e-10,0.02615230465691383,3.82375478229844e-19,261523046.5691383
1e-10,0.026252505057515033,3.80916029845213e-19,262525050.5751503
1e-10,0.026352705458116233,3.794676799273432e-19,263527054.58116233
1e-10,0.026452905858717436,3.7803030235729454e-19,264529058.58717436
1e-10,0.02655310625931864,3.7660377291980917e-19,265531062.59318638
1e-10,0.026653306659919843,3.7518796926752784e-19,266533066.59919843
1e-10,0.026753507060521046,3.7378277088601044e-19,267535070.60521045
1e-10,0.026853707461122246,3.7238805905954e-19,268537074.61122245
1e-10,0.02695390786172345,3.7100371683768884e-19,269539078.61723447
1e-10,0.027054108262324652,3.6962962900262825e-19,270541082.6232465
1e-10,0.027154308662925855,3.682656820371618e-19,271543086.6292585
1e-10,0.027254509063527055,3.669117640934635e-19,272545090.63527054
1e-10,0.027354709464128258,3.655677649625032e-19,273547094.64128256
1e-10,0.02745490986472946,3.6423357604414195e-19,274549098.6472946
1e-10,0.027555110265330664,3.62909090317879e-19,275551102.65330666
1e-10,0.027655310665931864,3.6159420231423547e-19,276553106.6593186
1e-10,0.027755511066533067,3.602888080867573e-19,277555110.66533065
1e-10,0.02785571146713427,3.5899280518462297e-19,278557114.6713427
1e-10,0.027955911867735474,3.5770609262583984e-19,279559118.67735475
1e-10,0.028056112268336677,3.564285708710153e-19,280561122.6833668
1e-10,0.028156312668937877,3.551601417976875e-19,281563126.68937874
1e-10,0.02825651306953908,3.5390070867520247e-19,282565130.69539076
1e-10,0.028356713470140283,3.526501761401241e-19,283567134.70140284
1e-10,0.028456913870741486,3.5140845017216325e-19,284569138.70741487
1e-10,0.028557114271342686,3.501754380706138e-19,285571142.7134268
1e-10,0.02865731467194389,3.489510484312827e-19,286573146.7194389
1e-10,0.028757515072545092,3.477351911239034e-19,287575150.72545093
1e-10,0.028857715473146296,3.465277772700183e-19,288577154.73146296
1e-10,0.0289579158737475,3.4532871922132156e-19,289579158.737475
1e-10,0.0290581162743487,3.441379305384495e-19,290581162.743487
1e-10,0.0291583166749499,3.429553259702082e-19,291583166.749499
1e-10,0.029258517075551105,3.4178082143322855e-19,292585170.75551105
1e-10,0.029358717476152308,3.406143339920372e-19,293587174.76152307
1e-10,0.029458917876753508,3.394557818395345e-19,294589178.7675351
1e-10,0.02955911827735471,3.383050842778696e-19,295591182.7735471
1e-10,0.029659318677955914,3.3716216169970325e-19,296593186.77955914
1e-10,0.029759519078557117,3.360269355698489e-19,297595190.78557116
1e-10,0.029859719479158317,3.3489932840728347e-19,298597194.7915832
1e-10,0.02995991987975952,3.337792637675194e-19,299599198.7975952
1e-10,0.030060120280360723,3.326666662253289e-19,300601202.8036072
1e-10,0.030160320680961927,3.3156146135781284e-19,301603206.80961925
1e-10,0.03026052108156313,3.3046357572780577e-19,302605210.8156313
1e-10,0.03036072148216433,3.2937293686760995e-19,303607214.8216433
1e-10,0.030460921882765533,3.282894732630497e-19,304609218.8276553
1e-10,0.030561122283366736,3.272131143378404e-19,305611222.83366734
1e-10,0.03066132268396794,3.2614379043826307e-19,306613226.83967936
1e-10,0.03076152308456914,3.250814328181392e-19,307615230.8456914
1e-10,0.030861723485170342,3.2402597362409767e-19,308617234.8517034
1e-10,0.030961923885771545,3.2297734588112817e-19,309619238.8577154
1e-10,0.03106212428637275,3.2193548347841416e-19,310621242.86372745
1e-10,0.03116232468697395,3.209003211554388e-19,311623246.86973953
1e-10,0.031262525087575155,3.1987179448835877e-19,312625250.87575155
1e-10,0.031362725488176355,3.188498398766385e-19,313627254.8817635
1e-10,0.031462925888777554,3.178343945299404e-19,314629258.88777554
1e-10,0.03156312628937876,3.1682539645526427e-19,315631262.8937876
1e-10,0.03166332668997996,3.1582278444433184e-19,316633266.8997996
1e-10,0.03176352709058117,3.1482649806120866e-19,317635270.90581167
1e-10,0.03186372749118237,3.13836477630161e-19,318637274.91182363
