mean,var,mu,sigma
1e-10,0.002855711465731463,-43.12248472637423,6.339816053551361
1e-10,0.0028657315056112224,-43.12423604158862,6.340092288231798
1e-10,0.002875751545490982,-43.12598124399771,6.340367546768444
1e-10,0.0028857715853707415,-43.127720376125495,6.340641835995003
1e-10,0.002895791625250501,-43.12945348005378,6.340915162673812
1e-10,0.0029058116651302607,-43.1311805974283,6.341187533496835
1e-10,0.0029158317050100202,-43.13290176946465,6.341458955086628
1e-10,0.0029258517448897798,-43.13461703695432,6.3417294339973
1e-10,0.0029358717847695393,-43.13632644027039,6.341998976715454
1e-10,0.002945891824649299,-43.13803001937327,6.3422675896611
1e-10,0.002955911864529058,-43.1397278138163,6.342535279188574
1e-10,0.0029659319044088176,-43.14141986275128,6.342802051587424
1e-10,0.002975951944288577,-43.14310620493383,6.343067913083286
1e-10,0.0029859719841683367,-43.14478687872881,6.343332869838749
1e-10,0.0029959920240480963,-43.14646192211544,6.3435969279542
1e-10,0.003006012063927856,-43.148131372692575,6.343860093468662
1e-10,0.0030160321038076154,-43.14979526768364,6.344122372360607
1e-10,0.003026052143687375,-43.15145364394175,6.344383770548767
1e-10,0.0030360721835671345,-43.15310653795447,6.344644293892922
1e-10,0.003046092223446894,-43.15475398584872,6.344903948194687
1e-10,0.0030561122633266536,-43.1563960233955,6.345162739198269
1e-10,0.003066132303206413,-43.158032686014515,6.345420672591228
1e-10,0.0030761523430861723,-43.159664008778805,6.345677754005218
1e-10,0.003086172382965932,-43.16129002641922,6.34593398901671
1e-10,0.0030961924228456914,-43.162910773328875,6.34618938314772
1e-10,0.003106212462725451,-43.16452628356751,6.346443941866508
1e-10,0.0031162325026052105,-43.16613659086577,6.346697670588274
1e-10,0.00312625254248497,-43.167741728629466,6.3469505746758434
1e-10,0.0031362725823647296,-43.16934172994371,6.347202659440338
1e-10,0.003146292622244489,-43.17093662757698,6.347453930141837
1e-10,0.0031563126621242488,-43.17252645398523,6.347704391990032
1e-10,0.0031663327020040083,-43.17411124131573,6.347954050144861
1e-10,0.003176352741883768,-43.1756910214111,6.34820290971715
1e-10,0.003186372781763527,-43.17726582581305,6.348450975769222
1e-10,0.0031963928216432866,-43.17883568576619,6.348698253315515
1e-10,0.003206412861523046,-43.180400632221776,6.348944747323182
1e-10,0.0032164329014028057,-43.18196069584131,6.349190462712685
1e-10,0.0032264529412825652,-43.183515907000235,6.349435404358371
1e-10,0.003236472981162325,-43.18506629579138,6.349679577089056
1e-10,0.0032464930210420843,-43.18661189202854,6.349922985688579
1e-10,0.003256513060921844,-43.18815272524985,6.350165634896367
1e-10,0.0032665331008016035,-43.18968882472124,6.350407529407979
1e-10,0.003276553140681363,-43.1912202194397,6.350648673875646
1e-10,0.0032865731805611226,-43.19274693813662,6.350889072908795
1e-10,0.0032965932204408817,-43.194269009280994,6.351128731074585
1e-10,0.0033066132603206413,-43.19578646108261,6.351367652898414
1e-10,0.003316633300200401,-43.197299321495194,6.351605842864423
1e-10,0.0033266533400801604,-43.198807618219504,6.351843305416002
1e-10,0.00333667337995992,-43.200311378706346,6.3520800449562795
1e-10,0.0033466934198396795,-43.201810630159606,6.352316065848605
1e-10,0.003356713459719439,-43.20330539953919,6.352551372417029
1e-10,0.0033667334995991986,-43.204795713563925,6.352785968946769
1e-10,0.003376753539478958,-43.20628159871444,6.353019859684681
